epoch,accuracy,loss,val_accuracy,val_loss
0,0.3697758,1.3210729881894248,0.4812680184841156,1.2389899547230614
1,0.65485746,0.955565012131508,0.6657060384750366,0.8885811886801156
2,0.7910324,0.569311034158099,0.6858789920806885,0.7787975801171074
3,0.8524772,0.41325120244318514,0.6945244669914246,0.7828920519661148
4,0.8820924,0.32796595435112164,0.680115282535553,0.819994685457488
5,0.90340436,0.27786970664812793,0.6743515729904175,0.8694612531565795
6,0.9299751,0.22155801287457583,0.6858789920806885,0.91674669692427
7,0.9415998,0.1868646052853407,0.680115282535553,0.9779731638149844
8,0.9507335,0.16276596512964087,0.6858789920806885,1.0291570883662968
9,0.9584833,0.14281479944210781,0.6628242135047913,1.1087632144905992
10,0.9609743,0.12849101931920778,0.6714697480201721,1.1506214938864585
11,0.96706337,0.11520151751785604,0.6570605039596558,1.195966883420257
12,0.96983117,0.10238574672910007,0.680115282535553,1.225931154204377
13,0.9673402,0.09835791984795204,0.6628242135047913,1.2634477605050167
14,0.97204536,0.09048834356069235,0.6455331444740295,1.2883811787157307
15,0.9717686,0.08793813361274117,0.6945244669914246,1.3635629477349758
16,0.97342926,0.08486425147334889,0.6628242135047913,1.3966972573689838
17,0.97342926,0.08140025062060179,0.6772334575653076,1.376470786693804
18,0.97481316,0.07272612019123675,0.6714697480201721,1.440297568909373
19,0.97647387,0.07527224131809059,0.6743515729904175,1.4543263998086584
20,0.9767506,0.06931667846266398,0.6628242135047913,1.4692676187592213
21,0.9770274,0.06950516305624647,0.6685879230499268,1.5907336394450162
22,0.97619706,0.07119954890323302,0.651296854019165,1.5556191948030456
23,0.97592026,0.06671077695590388,0.6455331444740295,1.5744646059333076
24,0.97619706,0.06422333386328423,0.6628242135047913,1.629390741287803
